"","Year","new.place","cu","FEM","FEF","FSM","FSF","SCM","SCF","SFM","SFF","SNM","SNF","SCA","SFA","SNA","FEA","FSA","long","lat","lat1","lat2","lat3","lat4","long2","long3"
"1",1996,"Alabama",22.4,74.8,82.2,25.2,17.8,24.3,20.7,29.3,14.6,46.4,64.7,22.4,21.5,56.1,78.5,21.5,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"2",1997,"Alabama",24.6,86,82.1,14,17.9,28.6,21.2,29.6,15.3,41.8,63.5,24.6,22,53.3,84.2,15.8,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"3",1998,"Alabama",24.6,78.7,78.8,21.3,21.2,27.2,22.3,28.9,14.9,43.8,62.8,24.6,21.5,53.9,78.8,21.2,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"4",1999,"Alabama",23.5,75.9,78.8,24.1,21.2,26.2,21.1,32,17.4,41.8,61.6,23.5,24.2,52.3,77.3,22.7,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"5",2000,"Alabama",25.2,76.9,75.9,23.1,24.1,28.9,22,31.1,17.6,40,60.4,25.2,24,50.8,76.4,23.6,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"6",2001,"Alabama",23.8,70.9,74.9,29.1,25.1,25.8,22.1,30,17.4,44.2,60.5,23.8,23.4,52.8,72.9,27.1,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"7",2002,"Alabama",24.4,75.2,82.6,24.8,17.4,27.5,21.5,30.1,17,42.4,61.4,24.4,23.2,52.4,78.6,21.4,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"8",2003,"Alabama",25.3,76.6,78.8,23.4,21.2,28.5,22.5,32.7,16,38.8,61.6,25.3,23.9,50.8,77.7,22.3,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"9",2004,"Alabama",24.9,73.2,77.9,26.8,22.1,28.9,21.2,26.2,16,44.9,62.8,24.9,20.9,54.3,75.3,24.7,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"10",2005,"Alabama",24.8,72,81.1,28,18.9,29.6,20.4,25.3,17,45.1,62.6,24.8,20.9,54.3,75.9,24.1,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
"11",2006,"Alabama",23.2,74.4,78.1,25.6,21.9,26.1,20.5,28.7,18.5,45.2,61,23.2,23.4,53.5,76.2,23.8,-86.902298,32.3182314,31.5682314,32.0682314,32.5682314,33.0682314,-86.902298,-86.902298
